row_id,owner_project_name,owner_developer,owner_area,manifest_status
1,"Virella at The Valley","Emaar","The Valley","candidate"
2,"Valia Tower","Emaar","Dubai Creek Harbour","candidate"
3,"Avarra by Palace","Emaar","Business Bay","candidate"
4,"Golf Fields","Emaar","Emaar South","candidate"
5,"Golf Hills","Emaar","Emaar South","candidate"
6,"Serro 2 at The Heights","Emaar","The Heights","candidate"
7,"Sobha Sanctuary Apartments","Sobha Realty","Sobha Sanctuary","candidate"
8,"The Mirage at Sobha Central","Sobha Realty","Jebel Ali","candidate"
9,"The Eden at Sobha Central","Sobha Realty","Jebel Ali","candidate"
10,"The Brooks at Sobha Sanctuary","Sobha Realty","MBR City","candidate"
11,"The Willows at Sobha Sanctuary","Sobha Realty","MBR City","candidate"
12,"Golf Ridges","Sobha Realty","Sobha One","candidate"
13,"Damac Islands","DAMAC","DAMAC Islands","candidate"
14,"Damac Islands Phase 2","DAMAC","DAMAC Islands 2","candidate"
15,"Seychelles 2 at DAMAC Islands","DAMAC","DAMAC Islands","candidate"
16,"Damac Hills – Lilac","DAMAC","DAMAC Hills","candidate"
17,"Riverside Views – Marine 3","DAMAC","DAMAC Riverside","candidate"
18,"Riverside Views – Marine 2","DAMAC","DAMAC Riverside","candidate"
19,"Binghatti Aquarise","Binghatti","Business Bay","candidate"
20,"Binghatti Hillcrest","Binghatti","Arjan","candidate"
21,"Binghatti Amberhall","Binghatti","JVC","candidate"
22,"Binghatti Skyrise Tower A","Binghatti","Business Bay","candidate"
23,"Binghatti Skyrise Tower B","Binghatti","Business Bay","candidate"
24,"Vision Iconic","Binghatti","Meydan","candidate"
25,"Maybach Six Tower A","Binghatti","Meydan","candidate"
26,"Maybach Six Tower B","Binghatti","Meydan","candidate"
27,"The Meriva Collection","Ellington","Dubai Islands","candidate"
28,"Eltiera Views 2","Ellington","Jumeirah Islands","candidate"
29,"Meriva Signature","Ellington","Dubai Islands","candidate"
30,"The Edit at D3","Meraas","Dubai Design District","candidate"
31,"Solaya 5 & 7","Meraas","La Mer","candidate"
32,"City Walk Crestlane Phase 5","Meraas","City Walk","candidate"
33,"City Walk Phase 3","Meraas","City Walk","candidate"
34,"Arancia Yards 2","Beyond","City of Arabia","candidate"
35,"Soulever","Beyond","Dubai Maritime City","candidate"
36,"Terra Gardens","Expo City Dubai","Expo City","candidate"
37,"Creek Haven","Emaar","Dubai Creek Harbour","candidate"
38,"Lyvia by Palace","Emaar","Dubai Creek Harbour","candidate"
39,"Vida Residences Hillside","Emaar","Dubai Hills Estate","candidate"
40,"Marina Views","Emaar","Mina Rashid","candidate"
41,"Palm Central Private Residences Phase 2","Nakheel","Palm Jebel Ali","candidate"
42,"Naya at District One","Nakheel","MBR City","candidate"
43,"Oceanz by Danube","Danube","Dubai Maritime City","candidate"
44,"Azizi Milan","Azizi","City of Arabia","candidate"
45,"Cresswell Plaza","Bold","Dubai South","candidate"
46,"The Collective","Bold","Dubai South","candidate"
47,"Lunaya Terraces","Zaya","Jebel Ali","candidate"
48,"Le Chateau Piétrus","Mr Eight","Dubai Islands","candidate"
49,"R. Hills","Reportage","Dubai","candidate"
50,"Athlon","Aldar","Dubai","candidate"
